District,Taluka,Village_Cluster,Latitude,Longitude,Season,Cane_Variety,Soil_Type,Irrigation_Method,Area_Harvested_Ha,Planting_Date,Harvest_Date,Harvest_Year,Avg_NDVI,Avg_EVI,Avg_LST_Celsius,Avg_Max_Temp_Celsius,Avg_Min_Temp_Celsius,Solar_Radiation_kWh,Avg_Humidity_Percent,Accumulated_Rainfall_mm,Yield_Tonnes_Ha
Ahmednagar,Rahuri,Rahuri_Cluster_5,19.3352,74.8053,Suru,VSI 434,Medium Black,Rainfed,1.91,10-02-2021,31-05-2022,2022,0.556,0.449,34.3,36,18.2,5.69,64.9,432.9,86.32
Ahmednagar,Shevgaon,Shevgaon_Cluster_3,19.2004,74.8455,Adsali,Co 86032,Clay Loam,Flood,2.19,12-08-2019,22-10-2020,2020,0.573,0.437,30.5,32.2,20.3,5.09,59,570.2,129.69
Ahmednagar,Shrirampur,Shrirampur_Cluster_6,19.3083,74.7932,Adsali,CoM 0265,Medium Black,Flood,0.93,23-08-2022,06-12-2023,2023,0.753,0.621,30.7,32.9,20,5.68,65.9,438.7,178.31
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_9,18.5863,74.2452,Adsali,VSI 434,Sandy Loam,Drip,2.3,15-09-2020,06-01-2022,2022,0.596,0.432,32.2,34,22,6.27,66.2,439.5,154.5
Ahmednagar,Nevasa,Nevasa_Cluster_14,19.4534,74.3346,Suru,Co 92005,Clay Loam,Drip,0.93,21-06-2021,21-06-2022,2022,0.583,0.474,35.7,37.4,16.3,5.95,55.1,474,107.99
Ahmednagar,Jamkhed,Jamkhed_Cluster_19,19.2687,74.2475,Suru,CoM 0265,Black Cotton,Drip,0.57,28-07-2022,06-11-2023,2023,0.737,0.636,33.5,35.8,19.8,6.06,55,230.5,126.45
Ahmednagar,Sangamner,Sangamner_Cluster_3,18.7074,74.3312,Suru,Co 92005,Sandy Loam,Flood,0.83,07-01-2019,13-05-2020,2020,0.605,0.443,39.9,41.7,23.3,6.07,84.7,471.3,112.56
Ahmednagar,Sangamner,Sangamner_Cluster_11,19.4961,74.8401,Suru,Co 92005,Medium Black,Drip,3.27,25-06-2019,14-07-2020,2020,0.653,0.581,32.7,34.7,14.6,5.49,59.5,504.3,121.86
Ahmednagar,Rahuri,Rahuri_Cluster_13,18.7616,74.438,Adsali,Co 92005,Black Cotton,Drip,2.55,22-09-2022,04-11-2023,2023,0.803,0.694,27.1,29.5,19.9,6.41,44.7,383.5,168.93
Ahmednagar,Akole,Akole_Cluster_16,18.6143,74.9106,Pre-seasonal,Co 92005,Black Cotton,Drip,1.81,18-05-2018,31-05-2019,2019,0.798,0.644,32.9,35.3,16.1,5.81,88.3,874.7,170.85
Ahmednagar,Sangamner,Sangamner_Cluster_1,19.1154,75.0853,Pre-seasonal,CoM 0265,Medium Black,Flood,4.99,10-09-2020,20-11-2021,2021,0.589,0.474,31.6,33.3,18.2,5.05,59.2,388.4,131.66
Ahmednagar,Parner,Parner_Cluster_1,18.5272,74.4694,Suru,CoM 0265,Black Cotton,Flood,4.54,19-10-2021,01-03-2023,2023,0.458,0.396,35.1,36.4,20.9,5.42,68.8,483.7,118.26
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_13,18.6934,74.9268,Suru,Co 86032,Clay Loam,Flood,2.54,03-11-2019,25-12-2020,2020,0.4,0.376,35.3,36.5,13.8,6.09,65.2,450.9,95.55
Ahmednagar,Shrigonda,Shrigonda_Cluster_10,19.2881,74.2398,Suru,Co 86032,Clay Loam,Drip,2.69,16-03-2022,21-03-2023,2023,0.577,0.414,31.1,32.8,20.5,6.19,66.6,295,122.72
Ahmednagar,Parner,Parner_Cluster_2,19.2851,74.844,Suru,VSI 434,Sandy Loam,Flood,3.22,16-03-2023,17-04-2024,2024,0.456,0.38,37.3,38.7,19.6,5.26,71.6,501.1,94.25
Ahmednagar,Karjat,Karjat_Cluster_1,18.52,74.4528,Adsali,VSI 434,Medium Black,Drip,0.64,16-01-2021,20-01-2022,2022,0.809,0.654,28.9,31.3,19,5.82,54.9,675,173.23
Ahmednagar,Jamkhed,Jamkhed_Cluster_9,18.7722,75.1987,Suru,Co 86032,Medium Black,Flood,4.16,08-05-2021,22-05-2022,2022,0.85,0.66,34.2,36.8,19.9,6.31,77,460,129.75
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_10,19.4456,74.8196,Pre-seasonal,Co 92005,Black Cotton,Flood,1.25,21-10-2019,12-01-2021,2021,0.701,0.561,27.8,29.9,19.1,5.69,59,352.4,151.9
Ahmednagar,Kopargaon,Kopargaon_Cluster_15,19.3418,75.0599,Adsali,Co 86032,Medium Black,Flood,2.98,17-10-2019,27-02-2021,2021,0.796,0.607,28.7,31.1,20.6,5.58,85.2,710.2,152.66
Ahmednagar,Nevasa,Nevasa_Cluster_16,19.0488,74.5489,Adsali,VSI 434,Clay Loam,Rainfed,3.74,30-03-2019,09-07-2020,2020,0.653,0.454,30.5,32.5,18.2,6.14,59.5,506.6,137.02
Ahmednagar,Shrirampur,Shrirampur_Cluster_3,19.2232,74.316,Suru,Co 86032,Clay Loam,Rainfed,2.23,23-12-2017,19-03-2019,2019,0.349,0.314,35,36,21.6,6.53,55.2,430.7,83.76
Ahmednagar,Shrigonda,Shrigonda_Cluster_9,18.8589,74.8823,Adsali,Co 92005,Black Cotton,Drip,2.15,20-03-2022,17-04-2023,2023,0.85,0.544,33.2,35.8,23.9,5.54,58.9,602.6,180
Ahmednagar,Nevasa,Nevasa_Cluster_4,19.3867,74.9219,Pre-seasonal,Co 92005,Black Cotton,Rainfed,1.98,27-09-2022,03-02-2024,2024,0.714,0.593,26.2,28.3,21,5.29,57.4,451.3,136.28
Ahmednagar,Nevasa,Nevasa_Cluster_10,19.4803,74.3457,Pre-seasonal,Co 92005,Sandy Loam,Drip,2.91,29-12-2022,15-01-2024,2024,0.585,0.496,32.5,34.2,21,5.67,70.5,414.6,114.53
Ahmednagar,Rahuri,Rahuri_Cluster_9,18.6853,74.436,Pre-seasonal,VSI 434,Clay Loam,Drip,2.55,24-05-2020,28-09-2021,2021,0.734,0.505,28.8,31,16.7,4.58,65,518.8,135.71
Ahmednagar,Jamkhed,Jamkhed_Cluster_9,18.6264,74.2333,Adsali,Co 86032,Black Cotton,Drip,4.72,18-11-2022,24-03-2024,2024,0.85,0.712,27.7,30.2,18.3,5.28,54,458.5,153.21
Ahmednagar,Jamkhed,Jamkhed_Cluster_13,18.677,75.1732,Pre-seasonal,Co 86032,Clay Loam,Flood,2.24,29-10-2021,02-11-2022,2022,0.745,0.524,32.1,34.3,17.8,4.87,51.2,397,152.37
Ahmednagar,Rahata,Rahata_Cluster_19,18.5675,75.0114,Pre-seasonal,CoM 0265,Black Cotton,Drip,2.27,16-10-2018,15-02-2020,2020,0.85,0.618,30.2,32.7,19.4,5.03,74.5,312.7,169.74
Ahmednagar,Shrirampur,Shrirampur_Cluster_4,18.6526,75.0239,Pre-seasonal,Co 92005,Clay Loam,Rainfed,4.86,17-02-2022,12-05-2023,2023,0.538,0.3,32.6,34.2,22.4,5.52,59,494,106.86
Ahmednagar,Rahata,Rahata_Cluster_3,18.7947,74.3806,Suru,Co 86032,Black Cotton,Drip,1.83,04-11-2019,08-01-2021,2021,0.85,0.675,33.1,35.6,23.3,5.57,69.6,291.6,159.06
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_5,19.1567,74.5093,Suru,Co 92005,Sandy Loam,Flood,3.63,13-08-2019,29-11-2020,2020,0.407,0.342,34.2,35.4,21.7,5.99,54.3,526,95.14
Ahmednagar,Rahuri,Rahuri_Cluster_16,19.2809,74.278,Adsali,Co 86032,Clay Loam,Flood,1.5,17-08-2019,17-08-2020,2020,0.583,0.396,28.4,30.1,17,6.11,70.7,563.4,134.92
Ahmednagar,Rahata,Rahata_Cluster_7,19.4654,74.2548,Adsali,CoM 0265,Black Cotton,Rainfed,4.25,21-02-2019,30-06-2020,2020,0.596,0.577,31.9,33.6,16.6,5.45,66.6,510.1,135.82
Ahmednagar,Rahata,Rahata_Cluster_9,19.1236,74.5937,Pre-seasonal,Co 86032,Clay Loam,Drip,3.84,12-09-2023,18-09-2024,2024,0.728,0.604,30,32.2,18.4,5.43,54.1,432.7,130.89
Ahmednagar,Shrirampur,Shrirampur_Cluster_2,19.4848,74.528,Pre-seasonal,VSI 434,Medium Black,Flood,2.8,04-04-2018,17-04-2019,2019,0.553,0.431,26.8,28.5,20.3,4.42,76.3,562.8,110.99
Ahmednagar,Rahuri,Rahuri_Cluster_4,18.5263,74.596,Adsali,Co 86032,Black Cotton,Drip,0.63,16-07-2022,25-10-2023,2023,0.746,0.58,30.2,32.5,22.9,4.78,59.8,499,155.48
Ahmednagar,Shrirampur,Shrirampur_Cluster_1,18.5607,75.019,Adsali,Co 86032,Black Cotton,Rainfed,0.91,17-08-2020,17-12-2021,2021,0.665,0.508,29.5,31.5,20.4,5.2,61,594.5,137.65
Ahmednagar,Jamkhed,Jamkhed_Cluster_8,19.0898,74.3135,Adsali,VSI 434,Black Cotton,Flood,4.32,26-04-2023,30-04-2024,2024,0.85,0.704,26.8,29.4,19.3,5.11,75.9,342.4,180
Ahmednagar,Parner,Parner_Cluster_10,19.0911,74.889,Pre-seasonal,Co 92005,Clay Loam,Rainfed,1.17,06-03-2021,05-06-2022,2022,0.416,0.368,30.7,31.9,24.7,5.37,56.1,583.5,68.44
Ahmednagar,Rahata,Rahata_Cluster_15,18.9591,74.6303,Suru,Co 86032,Clay Loam,Drip,1.48,31-05-2021,16-06-2022,2022,0.735,0.649,36,38.2,19.7,5.81,40,673.8,123.97
Ahmednagar,Shrirampur,Shrirampur_Cluster_15,18.6053,74.7349,Pre-seasonal,Co 86032,Sandy Loam,Rainfed,2.66,15-08-2020,17-10-2021,2021,0.662,0.522,32.9,34.9,21.3,4.99,57.3,405.7,109.99
Ahmednagar,Rahata,Rahata_Cluster_3,19.2623,74.5979,Adsali,Co 92005,Black Cotton,Flood,2.62,11-03-2018,09-07-2019,2019,0.85,0.646,28.4,30.9,21.4,4.97,57.8,565.6,168.61
Ahmednagar,Shrigonda,Shrigonda_Cluster_15,19.4674,74.9988,Pre-seasonal,Co 92005,Medium Black,Drip,0.61,30-12-2017,09-03-2019,2019,0.538,0.388,29.5,31.1,20.3,5.84,60.1,528.5,136.45
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_4,18.9263,74.7245,Pre-seasonal,CoM 0265,Clay Loam,Flood,1.28,31-10-2022,05-03-2024,2024,0.758,0.648,27.6,29.9,19.9,5.8,66.7,535.4,137.22
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_15,19.0406,74.8164,Suru,VSI 434,Black Cotton,Rainfed,1.44,23-12-2018,05-05-2020,2020,0.593,0.467,34.9,36.7,23.2,5.16,61.6,555.5,90.64
Ahmednagar,Shrigonda,Shrigonda_Cluster_10,19.0106,74.6976,Adsali,CoM 0265,Black Cotton,Drip,1.96,25-08-2021,08-09-2022,2022,0.702,0.545,32.6,34.7,20,6.29,70,444.4,171.69
Ahmednagar,Jamkhed,Jamkhed_Cluster_4,18.8502,75.0221,Suru,Co 86032,Clay Loam,Drip,1.65,05-03-2022,09-05-2023,2023,0.619,0.506,29.1,30.9,17.8,5.92,59.4,551.8,131.32
Ahmednagar,Jamkhed,Jamkhed_Cluster_9,19.2123,74.6908,Suru,Co 92005,Sandy Loam,Rainfed,2.8,18-12-2022,09-03-2024,2024,0.3,0.241,33.8,34.7,17.4,6.11,86.8,356.1,59.46
Ahmednagar,Jamkhed,Jamkhed_Cluster_7,18.9873,74.9465,Pre-seasonal,VSI 434,Medium Black,Drip,4.96,27-07-2018,25-10-2019,2019,0.85,0.708,29.8,32.4,21.3,5.13,66.9,309.5,151.95
Ahmednagar,Shrirampur,Shrirampur_Cluster_16,18.7616,74.5437,Suru,CoM 0265,Sandy Loam,Rainfed,1.36,30-11-2023,30-11-2024,2024,0.371,0.298,33.5,34.6,21.3,6.02,58.6,623.4,88.22
Ahmednagar,Akole,Akole_Cluster_19,19.0133,74.3539,Pre-seasonal,Co 92005,Clay Loam,Rainfed,4.21,23-08-2018,06-10-2019,2019,0.563,0.5,30,31.7,19.4,6.5,89,973.2,129.29
Ahmednagar,Karjat,Karjat_Cluster_13,19.4624,74.2651,Pre-seasonal,Co 86032,Sandy Loam,Flood,4.85,29-03-2022,09-08-2023,2023,0.618,0.473,30.9,32.8,23.2,5.87,72,253,132.4
Ahmednagar,Kopargaon,Kopargaon_Cluster_13,19.0375,74.7414,Adsali,Co 92005,Sandy Loam,Flood,0.98,11-08-2022,16-12-2023,2023,0.665,0.474,30.8,32.8,20,5.57,74.7,643.2,133.93
Ahmednagar,Pathardi,Pathardi_Cluster_3,18.8297,74.6312,Pre-seasonal,CoM 0265,Medium Black,Rainfed,1.75,24-10-2021,29-12-2022,2022,0.503,0.395,29.1,30.6,19.3,5.38,52.8,462.4,104.43
Ahmednagar,Rahuri,Rahuri_Cluster_20,18.6939,74.6062,Adsali,Co 86032,Black Cotton,Rainfed,1.17,30-03-2018,02-07-2019,2019,0.788,0.611,27.3,29.7,19.9,5.51,76,686.7,159.62
Ahmednagar,Kopargaon,Kopargaon_Cluster_7,18.7375,75.1669,Suru,CoM 0265,Black Cotton,Flood,3.57,16-02-2021,09-03-2022,2022,0.568,0.431,34.2,35.9,19.3,4.56,79.4,542.8,116.31
Ahmednagar,Shevgaon,Shevgaon_Cluster_18,18.8202,75.1276,Adsali,CoM 0265,Sandy Loam,Drip,1.01,04-03-2019,25-05-2020,2020,0.801,0.63,29.1,31.5,22.9,5.19,63.4,502.2,160.33
Ahmednagar,Parner,Parner_Cluster_4,18.8657,74.2402,Suru,CoM 0265,Clay Loam,Drip,2.69,23-06-2023,27-09-2024,2024,0.759,0.619,34.8,37.1,21.7,5.58,66.7,616.5,128.85
Ahmednagar,Parner,Parner_Cluster_16,18.6715,74.78,Adsali,VSI 434,Medium Black,Drip,1.67,02-02-2023,17-05-2024,2024,0.74,0.569,27.3,29.5,21.9,5.45,59.9,549.3,155.82
Ahmednagar,Pathardi,Pathardi_Cluster_12,19.2365,74.8623,Adsali,CoM 0265,Clay Loam,Flood,3.45,12-11-2020,28-11-2021,2021,0.85,0.73,28.7,31.3,19.4,5.87,70.7,438.6,175.63
Ahmednagar,Parner,Parner_Cluster_2,19.0404,74.5664,Suru,VSI 434,Black Cotton,Flood,3.08,28-10-2017,14-02-2019,2019,0.746,0.568,32.7,34.9,18.8,6.7,58.7,562.4,123.01
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_7,19.2155,74.6102,Adsali,Co 92005,Clay Loam,Rainfed,0.67,15-06-2021,13-08-2022,2022,0.657,0.568,29.6,31.5,18.6,5.17,75.1,641.7,154.72
Ahmednagar,Nevasa,Nevasa_Cluster_6,18.6673,74.264,Adsali,VSI 434,Black Cotton,Rainfed,2.46,24-07-2018,15-09-2019,2019,0.739,0.549,29.1,31.3,19.8,5.77,53.9,520.8,123
Ahmednagar,Shevgaon,Shevgaon_Cluster_5,19.029,74.6248,Adsali,Co 92005,Black Cotton,Rainfed,3.63,19-01-2023,26-03-2024,2024,0.77,0.563,29.8,32.1,24.2,6.33,71.7,498.5,156.17
Ahmednagar,Pathardi,Pathardi_Cluster_16,19.4703,75.0703,Pre-seasonal,CoM 0265,Medium Black,Flood,3.54,25-01-2023,07-05-2024,2024,0.791,0.641,29.6,31.9,17.4,5.07,72.2,650.1,135.41
Ahmednagar,Parner,Parner_Cluster_15,18.6716,74.7852,Adsali,CoM 0265,Clay Loam,Rainfed,4.05,23-01-2023,27-05-2024,2024,0.483,0.376,29.8,31.3,17.2,5.17,79.5,322.7,111.44
Ahmednagar,Pathardi,Pathardi_Cluster_20,18.8534,74.5668,Suru,Co 86032,Sandy Loam,Drip,1.01,12-05-2023,25-07-2024,2024,0.598,0.44,35.6,37.4,22.3,6.56,65.4,490.4,112.43
Ahmednagar,Nevasa,Nevasa_Cluster_5,19.363,74.7558,Adsali,Co 86032,Clay Loam,Rainfed,3.4,18-03-2022,12-07-2023,2023,0.455,0.354,31.2,32.6,20.9,5.16,70.5,589.7,102.36
Ahmednagar,Shevgaon,Shevgaon_Cluster_17,19.4106,74.5438,Suru,VSI 434,Medium Black,Rainfed,3.71,14-02-2018,20-04-2019,2019,0.3,0.255,34.7,35.6,19.3,6.45,55.7,650.4,59.4
Ahmednagar,Jamkhed,Jamkhed_Cluster_12,19.195,74.8689,Pre-seasonal,CoM 0265,Medium Black,Rainfed,3.41,22-05-2022,26-07-2023,2023,0.513,0.411,27.9,29.4,19.3,5.13,58.9,426.2,119.06
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_9,18.8874,75.187,Suru,Co 92005,Medium Black,Rainfed,3.11,19-06-2022,02-07-2023,2023,0.407,0.306,35.2,36.4,22.5,6.54,60.6,368.1,59.68
Ahmednagar,Rahuri,Rahuri_Cluster_5,18.7925,74.4549,Pre-seasonal,CoM 0265,Black Cotton,Drip,3.68,17-04-2018,10-05-2019,2019,0.85,0.728,32.1,34.6,20.6,5.34,58.3,455.8,171.39
Ahmednagar,Karjat,Karjat_Cluster_16,18.7749,74.8074,Pre-seasonal,VSI 434,Black Cotton,Flood,4.3,01-02-2018,14-02-2019,2019,0.8,0.648,32.8,35.2,19.2,6.08,74.8,318.7,145.46
Ahmednagar,Rahata,Rahata_Cluster_19,18.9758,74.2777,Suru,Co 92005,Sandy Loam,Flood,2.33,19-05-2020,10-07-2021,2021,0.359,0.291,31.7,32.8,20.6,6.23,84.1,530.7,93.68
Ahmednagar,Rahuri,Rahuri_Cluster_3,19.2318,74.5566,Adsali,CoM 0265,Medium Black,Drip,4.67,03-06-2023,09-06-2024,2024,0.85,0.667,26.4,28.9,19.8,5.4,51.5,526.3,179.1
Ahmednagar,Shevgaon,Shevgaon_Cluster_15,19.1829,75.0736,Adsali,Co 86032,Sandy Loam,Drip,4.33,12-01-2020,02-03-2021,2021,0.85,0.658,29.6,32.1,22.9,5.83,53.5,468.8,160.13
Ahmednagar,Jamkhed,Jamkhed_Cluster_5,19.4978,74.8346,Adsali,Co 92005,Clay Loam,Flood,4.96,15-04-2022,18-06-2023,2023,0.85,0.688,32,34.5,22.5,6.2,90.5,446.7,157.76
Ahmednagar,Shrigonda,Shrigonda_Cluster_4,19.1746,74.7713,Adsali,VSI 434,Medium Black,Drip,4.9,25-06-2023,16-09-2024,2024,0.683,0.505,29,31.1,18.1,5.53,36.1,610.5,149.6
